Trial Index,Trial Type,T (C),P (MPa),GR (mL/min),LR (mL/min),C (wt%),Productivity (mol/h),E-Factor
0,INIT,130,5,40,0.1,5,0.001326406,0.430519
0,INIT,120,3,80,2.033333333,5,0.021001056,0.795983
0,INIT,130,3,80,0.422222222,10,0.011935146,0.362433
0,INIT,120,3,60,1.066666667,2.5,0.007638781,0.285219
1,BO,140,3,90,1.066666667,5,0.014657802,0.357725
1,BO,130,5,40,0.422222222,7.5,0.009641626,0.264669
2,BO,120,5,90,0.422222222,7.5,0.01047183,0.167329
2,BO,110,5,50,2.677777778,5,0.013814532,1.258835
3,BO,140,5,70,2.677777778,7.5,0.034394613,1.083371
3,BO,140,5,70,1.711111111,7.5,0.029379077,0.570507
4,BO,110,4,50,2.355555556,2.5,0.0130744,0.472666
4,BO,120,4,70,0.422222222,7.5,0.00858979,0.309765
5,BO,150,4,90,1.711111111,7.5,0.029309281,0.641095
5,BO,140,3,70,0.422222222,5,0.00533454,0.377869
6,BO,130,4,20,1.388888889,7.5,0.008230578,3.086903
6,BO,140,4,50,1.388888889,5,0.017839318,0.460685